2026-01-19 08:50:47,864 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators']
2026-01-19 08:50:47,992 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub']
2026-01-19 08:50:47,994 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub', 'start']
2026-01-19 08:50:48,191 DEBUG    root            On GCE from disk cache: False
2026-01-19 08:50:48,193 DEBUG    root            Running [gcloud.beta.emulators.pubsub.start] with arguments: [--host-port: "<googlecloudsdk.calliope.arg_parsers.HostPort object at 0x7ffffc7b8830>"]
2026-01-19 08:50:48,193 DEBUG    root            Found Cloud SDK root: /google-cloud-sdk
2026-01-19 08:50:48,194 INFO     ___FILE_ONLY___ Executing: /google-cloud-sdk/platform/pubsub-emulator/bin/cloud-pubsub-emulator --host=0.0.0.0 --port=8085

2026-01-19 08:50:48,198 DEBUG    root            Chosen display Format:yaml
2026-01-19 08:50:48,694 INFO     ___FILE_ONLY___ [pubsub] This is the Google Pub/Sub fake.

2026-01-19 08:50:48,695 INFO     ___FILE_ONLY___ [pubsub] Implementation may be incomplete or differ from the real system.

2026-01-19 08:50:48,803 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:50:48 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 08:50:48,804 INFO     ___FILE_ONLY___ [pubsub] INFO: IAM integration is disabled. IAM policy methods and ACL checks are not supported

2026-01-19 08:50:49,021 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): No SLF4J providers were found.

2026-01-19 08:50:49,021 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): Defaulting to no-operation (NOP) logger implementation

2026-01-19 08:50:49,022 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.

2026-01-19 08:50:49,464 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:50:49 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 08:50:49,464 INFO     ___FILE_ONLY___ [pubsub] INFO: Server started, listening on 8085

2026-01-19 08:50:51,184 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:50:51 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:50:51,185 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 08:50:51,185 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:50:51 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:50:51,186 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 08:50:51,224 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:50:51 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:50:51,225 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 08:50:51,835 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:50:51 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:50:51,835 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 08:51:03,301 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:51:03 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:51:03,303 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 08:51:03,361 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:51:03 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:51:03,361 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 08:51:03,362 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:51:03 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:51:03,362 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 08:51:03,362 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:51:03 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:51:03,363 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 08:51:03,363 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:51:03 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:51:03,363 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 08:51:03,478 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:51:03 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:51:03,479 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 08:51:03,542 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:51:03 AM io.gapi.emulators.netty.HttpHandler$1 onError

2026-01-19 08:51:03,542 INFO     ___FILE_ONLY___ [pubsub] INFO: Exception when handling request: NOT_FOUND: Topic not found

2026-01-19 08:51:03,571 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:51:03 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:51:03,571 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 08:51:03,585 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:51:03 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:51:03,586 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 08:51:03,586 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:51:03 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:51:03,586 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

