2026-01-19 09:49:41,013 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators']
2026-01-19 09:49:41,128 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub']
2026-01-19 09:49:41,131 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub', 'start']
2026-01-19 09:49:41,339 DEBUG    root            On GCE from disk cache: False
2026-01-19 09:49:41,341 DEBUG    root            Running [gcloud.beta.emulators.pubsub.start] with arguments: [--host-port: "<googlecloudsdk.calliope.arg_parsers.HostPort object at 0x7ffffc7b4830>"]
2026-01-19 09:49:41,341 DEBUG    root            Found Cloud SDK root: /google-cloud-sdk
2026-01-19 09:49:41,341 INFO     ___FILE_ONLY___ Executing: /google-cloud-sdk/platform/pubsub-emulator/bin/cloud-pubsub-emulator --host=0.0.0.0 --port=8085

2026-01-19 09:49:41,345 DEBUG    root            Chosen display Format:yaml
2026-01-19 09:49:41,913 INFO     ___FILE_ONLY___ [pubsub] This is the Google Pub/Sub fake.

2026-01-19 09:49:41,914 INFO     ___FILE_ONLY___ [pubsub] Implementation may be incomplete or differ from the real system.

2026-01-19 09:49:42,032 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:49:41 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 09:49:42,033 INFO     ___FILE_ONLY___ [pubsub] INFO: IAM integration is disabled. IAM policy methods and ACL checks are not supported

2026-01-19 09:49:42,195 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): No SLF4J providers were found.

2026-01-19 09:49:42,196 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): Defaulting to no-operation (NOP) logger implementation

2026-01-19 09:49:42,196 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.

2026-01-19 09:49:42,617 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:49:42 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 09:49:42,617 INFO     ___FILE_ONLY___ [pubsub] INFO: Server started, listening on 8085

2026-01-19 09:49:44,120 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:49:44 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:49:44,120 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:49:44,541 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:49:44 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:49:44,542 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:49:44,670 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:49:44 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

