2026-01-19 08:37:34,680 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators']
2026-01-19 08:37:34,806 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub']
2026-01-19 08:37:34,808 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub', 'start']
2026-01-19 08:37:35,051 DEBUG    root            On GCE from disk cache: False
2026-01-19 08:37:35,053 DEBUG    root            Running [gcloud.beta.emulators.pubsub.start] with arguments: [--host-port: "<googlecloudsdk.calliope.arg_parsers.HostPort object at 0x7ffffc7b4830>"]
2026-01-19 08:37:35,053 DEBUG    root            Found Cloud SDK root: /google-cloud-sdk
2026-01-19 08:37:35,054 INFO     ___FILE_ONLY___ Executing: /google-cloud-sdk/platform/pubsub-emulator/bin/cloud-pubsub-emulator --host=0.0.0.0 --port=8085

2026-01-19 08:37:35,057 DEBUG    root            Chosen display Format:yaml
2026-01-19 08:37:35,573 INFO     ___FILE_ONLY___ [pubsub] This is the Google Pub/Sub fake.

2026-01-19 08:37:35,573 INFO     ___FILE_ONLY___ [pubsub] Implementation may be incomplete or differ from the real system.

2026-01-19 08:37:35,684 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:37:35 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 08:37:35,685 INFO     ___FILE_ONLY___ [pubsub] INFO: IAM integration is disabled. IAM policy methods and ACL checks are not supported

2026-01-19 08:37:35,888 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): No SLF4J providers were found.

2026-01-19 08:37:35,888 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): Defaulting to no-operation (NOP) logger implementation

2026-01-19 08:37:35,888 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.

2026-01-19 08:37:36,383 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:37:36 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 08:37:36,383 INFO     ___FILE_ONLY___ [pubsub] INFO: Server started, listening on 8085

2026-01-19 08:37:37,893 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:37:37 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:37:37,894 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 08:37:38,318 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:37:38 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:37:38,319 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 08:41:17,441 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:41:17 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:41:17,448 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 08:41:17,515 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:41:17 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:41:17,518 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 08:41:17,518 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:41:17 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:41:17,518 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 08:41:17,518 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:41:17 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:41:17,519 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 08:41:17,519 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:41:17 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:41:17,519 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 08:41:17,641 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:41:17 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:41:17,642 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 08:41:17,689 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:41:17 AM io.gapi.emulators.netty.HttpHandler$1 onError

2026-01-19 08:41:17,690 INFO     ___FILE_ONLY___ [pubsub] INFO: Exception when handling request: NOT_FOUND: Topic not found

2026-01-19 08:41:17,711 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:41:17 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 08:41:17,712 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 08:41:17,724 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 8:41:17 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 08:41:17,725 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

