2026-01-19 09:10:38,212 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators']
2026-01-19 09:10:38,331 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub']
2026-01-19 09:10:38,332 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub', 'start']
2026-01-19 09:10:38,552 DEBUG    root            Failed to check metadata server: <urlopen error [Errno -2] Name or service not known>
2026-01-19 09:10:38,552 DEBUG    root            On GCE from server: False
2026-01-19 09:10:38,555 DEBUG    root            Running [gcloud.beta.emulators.pubsub.start] with arguments: [--host-port: "<googlecloudsdk.calliope.arg_parsers.HostPort object at 0x7ffffc7b0830>"]
2026-01-19 09:10:38,555 DEBUG    root            Found Cloud SDK root: /google-cloud-sdk
2026-01-19 09:10:38,555 INFO     ___FILE_ONLY___ Executing: /google-cloud-sdk/platform/pubsub-emulator/bin/cloud-pubsub-emulator --host=0.0.0.0 --port=8085

2026-01-19 09:10:38,559 DEBUG    root            Chosen display Format:yaml
2026-01-19 09:10:39,120 INFO     ___FILE_ONLY___ [pubsub] This is the Google Pub/Sub fake.

2026-01-19 09:10:39,120 INFO     ___FILE_ONLY___ [pubsub] Implementation may be incomplete or differ from the real system.

2026-01-19 09:10:39,226 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:39 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 09:10:39,227 INFO     ___FILE_ONLY___ [pubsub] INFO: IAM integration is disabled. IAM policy methods and ACL checks are not supported

2026-01-19 09:10:39,384 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): No SLF4J providers were found.

2026-01-19 09:10:39,384 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): Defaulting to no-operation (NOP) logger implementation

2026-01-19 09:10:39,385 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.

2026-01-19 09:10:39,819 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:39 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 09:10:39,819 INFO     ___FILE_ONLY___ [pubsub] INFO: Server started, listening on 8085

2026-01-19 09:10:41,067 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:41 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:10:41,068 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:10:41,604 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:41 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:10:41,604 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:10:42,110 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:42 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:10:42,111 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:10:42,112 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:42 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:10:42,112 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:10:48,901 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:48 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:10:48,902 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:10:48,938 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:48 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:48,939 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:10:48,939 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:48 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:48,939 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:10:48,940 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:48 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:48,940 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:10:48,940 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:48 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:48,941 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 09:10:49,036 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:10:49,036 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:10:49,063 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.netty.HttpHandler$1 onError

2026-01-19 09:10:49,063 INFO     ___FILE_ONLY___ [pubsub] INFO: Exception when handling request: NOT_FOUND: Topic not found

2026-01-19 09:10:49,094 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:10:49,094 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:10:49,106 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:49,106 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:10:49,107 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:49,107 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:10:49,107 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:49,108 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:10:49,108 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:49,108 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 09:10:49,176 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:10:49,177 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:10:49,181 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:49,181 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:10:49,182 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:49,182 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:10:49,182 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:49,182 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:10:49,183 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:10:49,183 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 09:10:49,188 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.netty.HttpHandler$1 onError

2026-01-19 09:10:49,189 INFO     ___FILE_ONLY___ [pubsub] INFO: Exception when handling request: NOT_FOUND: Topic not found

2026-01-19 09:10:49,213 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:10:49 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

